Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class
b'E',997.0,137.0,20.0,0.0,14.0,b'Tue',b'F'
b'E',97.0,103.0,20.0,0.0,13.8166666666667,b'Tue',b'VF'
b'E',101.0,75.0,10.0,0.0,13.85,b'Thu',b'VF'
b'E',93.0,76.0,20.0,0.0,10.1,b'Fri',b'VF'
b'E',100.0,82.0,20.0,0.0,10.3666666666667,b'Fri',b'VF'
b'E',100.0,82.0,20.0,0.0,16.5333333333333,b'Wed',b'VF'
b'E',105.0,88.0,20.0,0.0,16.4,b'Fri',b'VF'
b'E',98.0,95.0,20.0,0.0,16.7333333333333,b'Fri',b'VF'
b'E',101.0,91.0,20.0,0.0,16.1833333333333,b'Fri',b'VF'
b'E',95.0,92.0,20.0,0.0,10.7833333333333,b'Wed',b'VF'
b'E',102.0,96.0,20.0,0.0,9.96666666666667,b'Fri',b'VF'
b'E',108.0,104.0,10.0,0.0,11.4833333333333,b'Wed',b'VF'
b'E',98.0,99.0,10.0,0.0,10.4333333333333,b'Fri',b'VF'
b'E',102.0,99.0,20.0,0.0,16.75,b'Thu',b'VF'
b'E',108.0,99.0,20.0,0.0,16.3666666666667,b'Thu',b'VF'
b'E',128.0,111.0,20.0,0.0,16.4833333333333,b'Fri',b'VF'
b'E',121.0,118.0,20.0,0.0,16.7666666666667,b'Fri',b'VF'
b'E',132.0,2320.0,11.0,0.0,15.1333333333333,b'Fri',b'VF'
b'E',141.0,139.0,20.0,0.0,16.2666666666667,b'Fri',b'VF'
b'E',147.0,137.0,20.0,0.0,18.7166666666667,b'Tue',b'VF'
b'E',147.0,72.0,20.0,0.0,4.65,b'Fri',b'VF'
b'E',150.0,81.0,20.0,0.0,5.26666666666667,b'Fri',b'VF'
b'E',1501.0,137.0,20.0,0.0,14.1,b'Tue',b'F'
b'E',154.0,114.0,20.0,0.0,10.1666666666667,b'Fri',b'VF'
b'E',149.0,111.0,20.0,0.0,10.8666666666667,b'Wed',b'VF'
b'E',145.0,112.0,20.0,0.0,16.6,b'Wed',b'VF'
b'E',155.0,116.0,20.0,0.0,10.4333333333333,b'Fri',b'VF'
b'E',157.0,112.0,20.0,0.0,10.0,b'Fri',b'VF'
b'E',154.0,76.0,20.0,0.0,20.8666666666667,b'Mon',b'VF'
b'E',157.0,157.0,20.0,0.0,17.9333333333333,b'Tue',b'VF'
b'E',173.0,166.0,20.0,0.0,13.8166666666667,b'Thu',b'VF'
b'E',180.0,173.0,20.0,0.0,15.8166666666667,b'Thu',b'VF'
b'E',171.0,174.0,20.0,0.0,14.45,b'Thu',b'VF'
b'E',236.0,224.0,20.0,0.0,11.2166666666667,b'Fri',b'VF'
b'E',233.0,861.0,10.0,0.0,17.7,b'Fri',b'VF'
b'E',29.0,25.0,20.0,0.0,9.95,b'Thu',b'VF'
b'E',231.0,127.0,20.0,0.0,10.4833333333333,b'Fri',b'VF'
b'E',239.0,141.0,20.0,0.0,15.7333333333333,b'Fri',b'VF'
b'E',244.0,210.0,20.0,0.0,15.9166666666667,b'Fri',b'F'
b'E',231.0,221.0,20.0,0.0,11.3,b'Fri',b'VF'
b'E',234.0,32.0,20.0,0.0,11.3833333333333,b'Fri',b'VF'
